identifier;source volume(M.m3/year)
Plant #MT300076K;2441.259
Unit #HX001177W;3.13
Plant #XT200151V;589.01
Plant #GD300122L;3316.729
Plant #ME200288T;82.7
Plant #RQ300246S;1542.732
Module #VG101105W;100.127
Unit #NH001007A;2.509
Module #TF100279C;41.266
Module #IG100749M;89.904
Module #PK100862R;69.126
Module #BB100075M;64.684
Module #GY100087Y;51.55
Plant #HK200313L;253.758
Plant #DB300222O;358.411
Module #IW100756D;44.587
Module #HL100652G;35.723
Plant #AI300236T;5635.458
Plant #LY200616S;1022.583
Plant #MW200452N;1041.313
Module #WD100507H;83.268
Plant #LR300082X;3864.247
Unit #YM000639V;6.141
Module #YH101084M;102.045
Plant #PN200555O;828.452
Module #QS100989L;94.7
Plant #DT300158D;382.021
Unit #GE001541H;9.921
Unit #SJ001564L;9.201
Plant #SY200435X;725.941
Module #QF100677N;53.82
Plant #US300176W;3257.514
Module #CI100663W;87.732
Unit #DY000728F;5.239
Module #OG100566L;101.589
Module #KR100665V;75.792
Module #VF101065T;30.727
Module #NU100550Y;90.534
Unit #DT001044D;2.293
Plant #QL200559G;902.262
Plant #JE200507R;315.99
Unit #YX001590I;1.892
Facility complex #JT400045K;6098.33
Module #WG100347K;91.474
Module #QY100234A;90.199
Unit #TD000727C;0.57
Unit #HL000476E;4.271
Plant #TB200286Z;660.802
Plant #NM300157G;2389.048
Plant #NG200014C;607.838
Plant #EY200084E;496.335
Module #MI100471V;96.535
Unit #MH000134G;1.39
Module #KV101144X;74.223
Module #GE101155Y;93.082
Module #LA100214F;102.264
Plant #GR200750T;189.404
Module #KP100813I;66.7
Module #SQ100679F;95.25
Plant #JU200387N;1020.277
Unit #DD001622C;6.464
Module #RZ100239Z;86.412
Unit #XY000238F;5.579
Plant #KN200539A;57.205
Plant #KP200028W;1066.803
Plant #NX200343T;133.578
Module #CL100007D;7.14
Module #YF100744K;97.059
Plant #WR200609T;445.132
Module #JL101203V;16.15
Plant #FE200429O;213.114
Plant #SB200531A;138.059
Module #NO100933F;48.984
Plant #RS300251V;403.258
Plant #LZ200221F;56.672
Plant #PM300274Q;732.108
Unit #JP000343G;4.48
Plant #QI300186Q;8635.332
Plant #WA200519S;545.163
Plant #QF200433E;717.279
Unit #TU000217M;10.787
Module #IO100171D;89.637
Module #XB100632V;88.176
Unit #GA000073O;7.62
Facility complex #SL400052G;2998.888
Module #TZ101066D;84.656
Module #PY100715E;92.122
Module #TJ100028B;29.769
Module #WS101210J;67.609
Unit #GY001281S;4.503
Module #AE100342A;74.282
Plant #MI300070K;1422.754
Plant #BD200583Y;924.491
Module #EG101098X;101.863
Plant #LA300057J;1666.343
Plant #EX200345X;1014.016
Module #UG100859G;57.572
Plant #NZ200527T;257.931
Unit #QV000652G;9.432
Module #ZM100916W;87.864
Unit #QX000051D;5.282
Plant #TD200737O;58.893
Module #NZ100130B;95.167
Module #EW100502T;94.786
Plant #VT300187B;2490.604
Module #FH100709H;23.576
Plant #LL300123H;1216.853
Module #LA100877Z;94.282
Module #HU101160N;45.427
Module #RY100634Y;90.53
Plant #YG200530G;711.394
Unit #EP001466R;4.781
Facility complex #HZ400030O;6073.773
Plant #AV200698E;405.301
Unit #LY000604N;4.392
Plant #OG200711O;172.905
Unit #BL001043G;0.633
Plant #FB200061D;648.937
Plant #EF300309W;724.435
Plant #BK300179N;4150.034
Module #CP100081D;55.677
Unit #SA000124B;10.426
Plant #WA200443I;974.971
Plant #OO200325J;219.792
Facility complex #OD400035P;4149.863
Module #OG100951D;90.456
Unit #GB001164T;1.185
Module #ZA101013V;90.024
Plant #OL200358Y;895.598
Plant #DI200322G;291.42
Unit #DM000548M;6.802
Module #OF101089R;90.814
Unit #UQ000211Q;3.934
Module #NF100927E;76.641
Plant #NJ200719Z;142.042
Plant #YU300185S;386.566
Plant #VN300139D;2230.773
Plant #QL200391M;1086.325
Unit #DZ001641U;1.204
Plant #HR200112D;301.888
Plant #VI200365R;595.007
Unit #AY000419Z;5.499
Plant #WP300233D;5266.286
Facility complex #NA400068R;4535.401
Module #ZE100286E;82.786
Plant #BN200238S;1039.281
Plant #BU200640M;716.283
Unit #VG000281R;2.676
Plant #QY200548F;570.598
Unit #KF000267B;5.015
Plant #XR200461J;829.805
Module #XN100727J;5.967
Facility complex #YK400016V;3311.008
Plant #OS200417N;665.973
Unit #MK000888W;0.931
Plant #SF200506W;163.335
Plant #ER300223T;538.549
Plant #NR300254I;578.101
Unit #CA001642C;2.255
Plant #YX200409D;1011.349
Plant #DA200339E;649.812
Plant #CX200636G;669.235
Module #IL100891P;104.545
Module #HX100425Z;67.737
Plant #NN300028E;3281.684
Module #VG100694J;91.984
Unit #ZX001045V;5.009
Plant #ET300081N;1903.006
Module #YY100710O;90.767
Plant #WW200744Q;1007.471
Module #YM100080K;107.617
Module #EB100110R;89.945
Plant #AG200811W;63.48
Unit #SD000183S;3.343
Plant #LK200557T;337.069
Plant #EN200447B;726.459
Plant #XD200168O;923.066
Module #NO100759W;69.031
Module #OW100265A;91.3
Plant #JP200395B;808.564
Module #ZZ100506Q;61.43
Plant #XW200806R;471.933
Plant #KC300041O;1455.036
Facility complex #CR400070F;4816.198
Module #ZT100429F;66.679
Unit #IR000262F;6.919
Unit #HG001485X;1.222
Plant #FF200793A;1077.437
Unit #UV001166T;3.494
Plant #GT200646Z;599.184
Plant #XR200423P;676.19
Plant #GG200296X;33.784
Module #DO101078M;96.023
Module #YG100288H;67.861
Plant #EV200066Q;268.857
Unit #SQ000685U;6.019
Unit #BH001578A;4.126
Plant #MT200282Y;359.774
Plant #HN200574F;135.634
Plant #TO300216A;4162.405
Module #XS100228U;82.345
Module #SQ100858Q;99.338
Plant #OB300127M;1645.011
Unit #UP000754R;1.147
Facility complex #AA400033V;4889.55
Plant #BZ200176N;739.541
Plant #KE300128J;2318.151
Module #OP100629E;78.973
Plant #UV200543A;552.472
Unit #VD001093T;8.255
Plant #AI200053H;560.025
Plant #FB200816E;217.636
Plant #GC200023L;943.028
Module #WQ100368J;75.667
Unit #HP000432M;1.257
Plant #ZJ200648K;803.2
Unit #RA000495F;4.304
Plant #XZ200785K;887.391
Plant #DU200741T;753.213
Facility complex #OE400031E;3017.422
Plant #HQ200672K;870.84
Unit #VN000004W;1.207
Plant #HS200275N;665.941
Unit #NV001319L;1.774
Module #DV100827B;87.506
Plant #KV200751J;1092.192
Module #FW100752R;95.0
Module #IT100577K;90.224
Plant #SV200371F;674.809
Plant #ZP200483E;138.477
Unit #AW001147T;5.089
Plant #IX200603D;831.687
Module #EB100844E;32.016
Unit #QK001333P;4.364
Plant #NI200366P;682.75
Plant #SN300087Z;719.441
Plant #TP200685V;255.6
Plant #TB200175B;1055.652
Module #UR100387U;99.369
Module #NV101062N;86.526
Plant #DX200363R;368.062
Module #HK100510S;76.41
Facility complex #TW400077V;4702.923
Module #FY101202Y;87.743
Facility complex #KR400067S;5379.324
Module #SY100699H;77.402
Plant #JC200290G;644.155
Plant #ZU300281M;112.622
Plant #BQ200553D;640.563
Plant #PZ300211A;2529.417
Module #SH100823C;38.448
Facility complex #MH400046K;4820.631
Module #OH100304C;86.419
Plant #HH200666I;597.761
Plant #FA200512T;371.229
Module #LS100331W;84.611
Module #ND100555I;102.173
Plant #OX200098B;114.056
Plant #UN200649P;868.353
Unit #ZQ001440I;2.657
Facility complex #AD400063M;6245.973
Plant #KK200731J;311.008
Plant #IY200341S;792.763
Module #IQ101110O;21.968
Unit #OM000430A;9.47
Unit #PP001215U;6.469
Plant #LN200635C;962.056
Module #NS100737E;74.001
Module #RI100393E;75.847
Module #CF100490K;100.094
Module #KU100639V;100.317
Plant #SY200169O;1050.202
Plant #AY200713C;806.956
Unit #PA001571Z;5.642
Unit #SZ000327L;6.804
Unit #DU000503J;1.583
Plant #SJ300159A;1444.551
Module #FY100720E;105.498
Module #RR100006B;80.519
Plant #PP300031P;734.317
Module #RT100622I;63.663
Module #UE100503I;57.266
Unit #QR000913K;7.768
Module #VW100684S;97.861
Plant #XC200651Q;655.288
Module #AM101134R;96.175
Module #GA100016S;85.836
Plant #AE300240T;233.391
Unit #UN001443Y;3.685
Module #MW100187X;93.256
Unit #WL001100D;6.783
Unit #BG000629U;10.884
Module #YD100164X;80.163
Module #WM100594H;38.855
Plant #UZ300205D;6053.411
Plant #PH200020G;381.255
Unit #TE000412M;0.91
Unit #HA000312W;6.837
Module #BL101178G;92.198
Plant #YR300177S;2282.112
Plant #XM200156S;132.546
Plant #TC200344R;779.52
Unit #KW000513A;2.512
Plant #DE200181N;116.283
Module #AG100201E;31.573
Unit #ED001385U;1.143
Module #UB100078P;86.75
Plant #JK200088U;904.001
Unit #WQ001214R;7.424
Module #NI100281K;91.046
Facility complex #ZT400008G;6247.853
Plant #CL300324U;280.337
Unit #VU000519M;7.77
Unit #RL001263I;6.279
Plant #NX200300H;953.271
Module #RH100226D;79.921
Unit #DS000779V;1.004
Unit #MV000923E;4.123
Unit #UP000585Q;7.191
Module #LJ101028N;58.931
Plant #EZ300117S;622.452
Unit #SP001116H;6.315
Plant #UA300286Z;1359.062
Plant #QK200180T;200.458
Module #SA100875L;95.939
Facility complex #SX400025M;1414.396
Plant #DG200687Y;839.613
Unit #XW001591E;5.815
Module #KH101012P;62.757
Plant #QR300272M;683.575
Module #HO100209A;81.743
Module #NV100551V;96.932
Module #NT100235D;97.357
Unit #RI000783X;1.45
Plant #HH200340L;132.821
Plant #KA300133E;643.619
Module #DG100897F;88.185
Module #AM101049F;53.3
Plant #II200470D;88.267
Plant #LF200229X;547.856
Plant #LL300304Z;6373.037
Plant #FL200247F;791.717
Module #JH100125K;108.991
Plant #WM300292I;1051.182
Plant #TC300300X;3217.271
Plant #ZQ200263O;881.121
Unit #PN001190C;0.512
Module #MH100769Q;37.933
Unit #UJ000272D;4.933
Plant #FM300160B;376.966
Plant #WF300004I;894.982
Plant #MC300125E;4926.246
Module #HE100802L;96.993
Plant #JK200587U;586.452
Plant #WI200449S;286.73
Unit #FC000158I;2.832
Plant #IT200271R;939.015
Module #SD100432I;102.607
Unit #ZC000078P;1.179
Module #BS100195Q;81.087
Plant #VP200421M;302.035
Plant #MT200650A;985.016
Module #MH100332N;53.822
Module #YQ100220F;98.043
Module #DB100584G;99.19
Unit #PW001420P;5.452
Module #DT100174Y;52.737
Plant #IG300102R;5678.056
Unit #AX001168N;2.489
Plant #MT300035K;1546.909
Plant #HU200462H;31.112
Module #FQ100949U;38.596
Unit #NH000273C;5.904
Unit #HC001041C;1.866
Module #PQ100133U;66.223
Unit #LI000219Z;10.503
Plant #ZB200272T;643.57
Plant #YF300014L;1232.06
Plant #XS300165P;332.158
Plant #IB200183U;793.368
Plant #MA300054A;1006.138
Plant #AF300146K;1800.712
Unit #BF001346F;3.493
Unit #GX000080F;1.967
Module #OJ100982D;97.977
Plant #LH200218E;578.164
Module #LM100179R;58.13
Plant #ZF200748V;742.241
Unit #JD001298E;5.542
Module #EC101063R;76.367
Module #CH100995F;35.609
Unit #MO000258G;4.262
Plant #QL200681E;685.346
Module #JY100341P;70.054
Module #BA100575Y;61.323
Module #OO100544D;101.772
Plant #HC200809P;632.64
Module #CZ101027O;90.994
Unit #VX000126A;1.26
Facility complex #VE400064G;5259.129
Module #PI100592J;48.19
Plant #PG300290T;1731.112
Plant #CZ300046X;1597.482
Module #XL100103X;38.795
Plant #JA200029X;782.293
Facility complex #BV400028N;6483.881
Module #RO100117K;43.431
Module #KP100070H;67.716
Plant #RA200501H;908.169
Plant #KH200057Z;632.093
Module #PD100697N;39.825
Plant #MT300009Z;295.309
Plant #HO200214T;117.812
Module #JK100212A;5.476
Module #RN100705Q;93.289
Module #WC101103O;83.629
Module #NN100701I;85.219
Module #AP100585G;96.489
Plant #AY200792P;826.694
Module #KO100785I;68.81
Module #LN100950R;91.954
Module #AG101135X;75.759
Plant #PK200668Y;492.889
Plant #GI200161F;261.646
Unit #TE000403D;7.048
Plant #NV200198V;798.11
Module #ZJ100327A;86.274
Module #CE101131R;94.638
Module #YK100233N;36.661
Plant #ML200756N;326.754
Unit #MO000769V;6.622
Unit #HV000982O;3.903
Plant #XI200144D;1064.859
Facility complex #LI400050B;6387.562
Plant #NJ200266N;413.894
Plant #OX200733S;538.091
Unit #WO000168Q;5.202
Plant #IN300303Z;1622.997
Module #NG100627A;90.728
Module #DJ100492V;102.722
Plant #ZW200310G;126.088
Plant #IO200172G;397.045
Unit #ON001170D;4.954
Module #OJ100704F;104.77
Module #UI100318L;90.346
Module #RZ100443B;46.172
Module #ZR100790R;85.854
Plant #CH300181L;2669.671
Unit #UA000796L;1.709
Module #VO100394F;89.684
Module #OL100860K;97.433
Unit #KW001639L;2.651
Module #DY100192P;106.716
Plant #PP200390B;496.553
Unit #UO000197J;3.06
Unit #VW001367L;5.186
Module #WZ101019C;37.465
Plant #YI300107R;4730.387
Plant #AR200547U;108.296
Unit #IE001487R;3.776
Unit #EL001458S;6.762
Unit #MH001246G;2.413
Plant #ST300171M;1594.374
Unit #UR000925L;1.579
Module #JN100978H;69.149
Unit #GP000838E;5.932
Module #RD100968V;74.817
Unit #JL000422Z;6.718
Unit #DS000540H;4.312
Unit #FK001271I;4.485
Facility complex #LT400011E;5285.635
Module #JQ100302E;66.138
Unit #BL000572J;6.846
Plant #LF200049B;467.673
Unit #BE000594I;9.328
Facility complex #MR400054L;2179.125
Plant #MX200031E;904.654
Module #PG101119Y;76.961
Module #DX101023U;42.19
Module #IS100614U;71.169
Plant #BE200388Y;994.489
Plant #WY300013M;520.634
Plant #CX200689B;38.729
Plant #VE200359R;217.119
Plant #WO200465G;169.856
Plant #SX200495K;50.029
Plant #YJ300052E;9641.387
Plant #MX200036B;753.394
Unit #TE000800L;4.102
Module #IX101126U;88.805
Module #DG100405Z;83.75
Unit #AW000593T;5.286
Module #PV101153V;96.443
Unit #EP000033V;5.29
Module #MW100115F;86.014
Plant #KA200814A;1022.096
Plant #SD200242H;521.056
Plant #DB200478K;35.824
Unit #MJ001459T;5.223
Unit #RO001052F;8.268
Module #SS100815M;44.669
Module #SA100656L;74.768
Plant #PT300201I;1278.38
Module #PK100689B;98.775
Plant #LZ200041U;349.571
Unit #WI000658N;5.156
Module #DH101154R;39.654
Module #LE101100H;92.578
Unit #WB000047G;1.441
Plant #NO300061I;454.973
Module #ZP100746O;81.274
Plant #VS300095X;213.589
Module #VY100119Z;90.106
Plant #GW300230U;804.449
Plant #UC200614R;916.794
Module #CF100150J;104.759
Module #IW100661J;81.854
Module #TE100774Z;25.551
Facility complex #PL400048J;2179.951
Plant #GS200153Z;1035.897
Unit #XE000636J;5.136
Module #XN100796I;37.456
Plant #AT200279R;101.409
Module #KP100745A;85.813
Unit #TN000313F;4.068
Module #PE100497V;45.987
Module #HQ100459U;76.408
Unit #TI000010M;9.423
Plant #IH200269F;688.332
Unit #CD001065G;0.952
Plant #DD200099P;751.525
Unit #MS000022D;2.43
Plant #TT200601V;603.787
Unit #VM001624A;5.845
Unit #TP000993T;1.907
Plant #DT200127P;82.248
Unit #HK001637S;6.976
Module #CV100137H;74.802
Plant #YX200306U;297.226
Facility complex #SU400078W;3584.569
Unit #IP001217S;3.139
Module #TJ100321C;82.188
Unit #EE000109O;2.1
Plant #OR200667P;427.883
Plant #TQ300242I;163.238
Module #PB100969V;97.263
Unit #UN001373K;5.678
Unit #YD000684W;6.922
Module #MI100305V;79.133
Unit #KD000117N;0.51
Plant #WF200691C;975.147
Plant #VA200316D;117.139
Unit #HE001645R;6.045
Plant #AL200364Q;742.726
Module #YX100514P;60.604
Plant #HD200146U;308.461
Plant #RI200619P;953.388
Plant #IY300318K;283.01
Plant #TK200813E;829.765
Module #AR100609Z;64.881
Unit #ZB000329P;1.153
Unit #YE001550M;3.594
Module #KW100043Y;59.128
Module #EP100388K;81.117
Module #US100830K;105.277
Unit #TJ001004H;2.178
Unit #MG001398P;3.917
Module #DK100719M;91.17
Module #HH100911P;43.262
Unit #VO001275B;8.35
Unit #CP000386B;3.063
Plant #FS300172F;428.844
Plant #CM300015Q;1187.118
Module #JX101030W;89.224
Plant #ED200252Q;868.544
Plant #VO200528V;242.33
Plant #NR300237F;202.63
Module #HR100519S;77.683
Unit #WW000579A;7.501
Unit #TW000336S;2.33
Plant #MU300173N;1128.072
Unit #DU000236B;5.079
Module #GH100878Q;91.362
Plant #ZX300204Y;1442.838
Unit #CX000093J;5.138
Unit #UL000872Y;7.119
Plant #ZF200450I;633.554
Plant #DN300294Y;1342.203
Module #ZF100101F;45.429
Unit #LZ000515S;5.176
Plant #XS200047M;968.826
Plant #LB300040B;2315.685
Plant #FB200362X;885.146
Plant #UX200490F;310.264
Unit #JX001481D;9.587
Unit #YD000354U;4.092
Unit #LW000142L;2.502
Module #BI101209U;98.765
Plant #FL200760I;762.589
Module #TQ100157M;76.961
Plant #QY200076M;819.712
Plant #VB200515X;912.623
Plant #HG200724M;758.461
Module #WJ100731A;44.13
Module #SV100729E;96.527
Unit #XJ001472P;2.658
Plant #ZF300100Y;179.682
Module #PL100276M;65.149
Module #TK100786M;18.662
Plant #GF300209Z;1559.759
Module #KM100411G;37.795
Module #OM100085M;99.128
Plant #CP200745Z;741.992
Module #XJ100440N;52.201
Plant #AB200558H;285.198
Plant #JX200622V;398.409
Module #ZO100460G;69.686
Plant #OZ300202A;570.988
Unit #CO000876D;1.832
Plant #ZG200157B;82.283
Module #OP100349J;88.628
Unit #FE000544Q;3.807
Module #NJ100066E;66.834
Plant #FF200408S;805.947
Plant #IV300155P;4034.318
Unit #QS001448L;1.862
Module #VX100919D;94.658
Module #OR100057Z;97.281
Plant #LN200799S;1088.865
Module #KJ100231D;81.424
Plant #XE200102B;1074.117
Unit #PQ001326B;1.271
Module #ML101189T;89.388
Module #WX101040R;96.134
Plant #NN200105H;885.602
Plant #CQ200406P;861.441
Module #SF101204O;98.747
Plant #YD300065L;46.264
Plant #HA200392R;956.695
Module #KC101161F;95.995
Unit #RX000082I;1.192
Module #PX100932L;98.133
Plant #BM300282U;7388.827
Module #WN100030C;89.602
Plant #UT200706E;92.535
Plant #GS300140U;1931.011
Plant #XP300110M;234.904
Unit #CB000582W;2.475
Plant #NP200215F;1022.139
Module #MD101029I;84.271
Unit #WY000069C;6.533
Plant #PT200357I;127.078
Module #TT100842P;101.423
Module #RD100579S;96.683
Unit #QL000641F;6.822
Plant #EB300162N;3261.375
Unit #FT000347X;6.602
Unit #DK000747Y;4.67
Unit #QF001503F;0.869
Module #FP100074T;74.079
Plant #GN200287J;666.402
Unit #DJ000247P;7.802
Unit #SM001297P;2.879
Plant #LR300252D;272.744
Module #XH100320Q;86.693
Plant #RV300130G;1628.826
Module #WG100297D;105.959
Module #HP101024C;100.926
Plant #SP200121P;392.505
Module #BD100473B;34.355
Plant #UM300042I;502.25
Module #KN100735Z;87.515
Module #HV100537G;61.49
Module #UW100778I;91.772
Unit #TO000349H;3.694
Plant #RI200040U;168.448
Plant #AO200393D;256.144
Unit #BI000006I;1.646
Module #RF101198Z;99.295
Plant #NW200375Z;384.096
Module #XO101180N;99.683
Module #IS101117Y;51.672
Module #TH101185L;76.303
Plant #NC200612O;419.28
Unit #QY000907W;6.753
Unit #UJ000756P;3.453
Facility complex #QW400074Q;5350.48
Plant #CZ300212C;134.817
Module #SR101114K;53.536
Module #DL101158N;53.196
Facility complex #VA400041C;5841.622
Plant #AR200411A;530.306
Module #NF100176O;102.007
Plant #QO200585I;102.28
Plant #CX300142K;440.985
Unit #WO000400L;7.104
Module #VG100491A;97.285
Plant #JS200738O;129.141
Plant #PN200779G;855.951
Unit #SO000506O;2.76
Plant #LW200405V;338.654
Unit #QW001442Q;6.984
Module #CW101069F;91.215
Plant #RJ300058V;589.839
Module #KJ101187E;104.302
Module #YJ101169V;33.266
Plant #KG200095V;765.591
Module #CB100560E;101.968
Module #EV100576Y;34.338
Module #DP100512Q;89.792
Plant #GG200351A;840.489
Unit #XO001112Z;5.867
Plant #MK300217K;1819.728
Plant #JP200335H;76.505
Plant #PR200104N;619.94
Module #DX100814Y;40.1
Plant #DG300119G;1776.595
Unit #BL000616V;1.239
Plant #SX200087K;70.947
Plant #MY200174R;552.205
Module #EZ101192M;93.695
Module #SZ100668P;57.87
Module #HD100971O;97.317
Module #JR100530W;62.214
Plant #TM200135D;32.484
Module #FV100776S;53.885
Module #FD101140O;96.955
Plant #BI200138N;929.9
Module #JD101188U;84.785
Module #VN100061H;102.674
Unit #NS001592X;3.148
Plant #FA200516D;28.354
Plant #XJ200774M;58.567
Plant #HA200460J;678.063
Module #GE100553Z;91.256
Plant #JP200442C;839.846
Plant #LP200274I;407.854
Plant #OY300080F;6362.93
Unit #IA001514C;9.162
Unit #CM001382G;1.366
Plant #BV200077Q;740.558
Plant #MY200708B;1077.928
Plant #GY200158Q;1076.396
Module #WG100377B;88.363
Unit #PQ000702T;1.046
Unit #IU001307S;3.659
Plant #CU300167H;315.158
Plant #UL200820F;402.633
Module #SY101182D;32.474
Unit #HU001632W;2.174
Unit #JM001400M;4.625
Module #DE100610S;85.147
Plant #ZK300029P;5717.206
Module #FK100733B;94.68
Module #ZM100808P;82.104
Module #WX100939P;50.088
Module #DF100222Q;105.195
Plant #UM200103D;793.952
Unit #HI000902H;6.544
Unit #OG000181B;4.184
Unit #HG000011S;6.979
Plant #XW200766Z;1074.508
Plant #PH300298E;1188.078
Unit #WO000592M;6.968
Plant #PI300018M;1069.2
Unit #JV001595B;7.763
Facility complex #UB400002N;5608.261
Plant #SE200173I;464.178
Plant #RX200208V;995.064
Unit #RU001605S;4.595
Unit #LM000874J;5.569
Unit #HV000782W;3.995
Unit #BZ001255F;5.861
Plant #SO200227N;1020.204
Plant #OC200354V;682.14
Unit #IO000869D;1.769
Unit #DB000830V;1.956
Plant #JG200573Z;253.004
Module #CG100384N;59.396
Plant #OA200562C;957.053
Module #GK100419P;87.748
Unit #OZ001053Y;2.83
Unit #VH001529K;1.174
Plant #SW300147V;321.151
Unit #ZJ000013U;4.47
Plant #KA300190B;1962.943
Module #SY100960J;61.651
Plant #XR300311G;6307.373
Plant #HT200007T;205.979
Unit #KU001314F;6.884
Unit #MM000733V;6.255
Unit #AZ000166D;2.165
Unit #DS001403B;2.884
Module #TH100453A;68.148
Plant #TM200469W;753.967
Plant #XM200026K;192.837
Module #NB100329J;89.368
Plant #NW200503C;295.697
Unit #GF001553V;1.606
Plant #BV200189S;657.209
Module #BU100059S;96.668
Module #IW101173H;69.104
Plant #XH200139R;914.22
Plant #QG200397F;864.267
Module #MU100583J;89.062
Plant #LY200684Q;858.105
Plant #KH200660A;666.703
Plant #QK200578K;162.348
Plant #JP300269J;4569.018
Unit #OQ001139V;5.187
Plant #FT300138E;6862.891
Module #AO100462U;42.178
Module #ES100003T;90.52
Module #SO100970X;107.963
Unit #YY001343V;1.759
Unit #FM001072Y;6.392
Plant #GE200629S;317.362
Plant #SW200166C;908.77
Plant #WB200032C;937.745
Module #BA100458I;101.729
Plant #KC200679S;585.463
Module #OX100207U;59.366
Plant #LE200182K;93.713
Facility complex #IT400059P;3061.574
Plant #SZ300327S;42.273
Module #EF100748J;99.293
Plant #MC200372K;169.734
Unit #DS000898B;4.656
Plant #FG200436P;860.635
Plant #OW300099C;10648.362
Module #CW100156U;80.339
Module #AZ100381S;78.088
Plant #JP300321Q;5021.922
Unit #WD000507N;6.512
Facility complex #UE400013H;3535.256
Module #EY101225K;50.523
Module #PF100379U;62.254
Unit #QH001507V;2.772
Module #YZ100404P;94.859
Module #SK101183O;56.116
Plant #FI200678Q;683.288
Plant #EX200337Y;879.002
Module #BK101194C;103.039
Unit #VC000937R;7.531
Module #OY100149Z;72.629
Plant #VU200554C;919.029
Module #EW100959O;28.321
Module #UT100824V;39.356
Unit #RH000125I;4.553
Module #MO100685Y;99.058
Module #GR100601Q;56.428
Module #VB101008Y;55.73
Plant #DW200727W;75.355
Module #QZ100917F;55.125
Unit #ZX001411O;4.344
Plant #TG300020V;618.276
Module #PP100470P;15.543
Plant #ZD300220X;9006.368
Unit #HD001130N;1.715
Plant #NJ200453I;159.437
Plant #KS200143Q;123.297
Plant #VM200736K;1037.507
Unit #BC000965U;4.914
Module #CD100649P;105.14
Unit #BY000348Q;0.942
Plant #XI200802W;789.558
Module #XA100714W;76.166
Module #GJ100541R;107.606
Plant #EG200412L;864.163
Unit #FD000765K;5.945
Module #TA100864U;48.406
Plant #ZI200380M;887.999
Unit #DN000954R;5.709
Plant #FI200476M;831.069
Plant #ST200228E;26.103
Plant #MN200534D;892.286
Plant #AQ200702E;980.24
Facility complex #WR400062U;9514.949
Unit #PF001439O;4.32
Unit #TP001574J;0.754
Module #SI100210A;44.587
Module #BX101099H;99.754
Plant #OP200818M;593.906
Plant #WF200517T;257.117
Module #RF100866G;77.575
Unit #NR000040Q;9.827
Module #QI100285X;68.885
Plant #MD200645B;715.023
Module #LI100587N;98.22
Plant #TG200658E;661.127
Plant #MU200638H;677.463
Unit #OW000786W;7.142
Plant #GZ200416L;325.002
Module #UU100155X;71.069
Module #LI100445M;75.672
Plant #PH300313N;1337.949
Unit #WT000711Z;0.563
Unit #YR001269F;3.667
Plant #YV300069U;976.305
Plant #AI300092J;1193.51
Plant #TJ200448M;1064.103
Plant #ES200192I;302.027
Plant #UI200637W;660.166
Facility complex #YF400058I;5771.691
Unit #MI001618C;1.814
Plant #HI200717Z;966.262
Unit #HX000749F;3.585
Unit #WA000156E;5.076
Unit #OR001471R;6.237
Module #QB101059X;104.377
Plant #CN200419V;193.398
Plant #JK200556V;418.188
Module #ML100929T;101.189
Plant #LX200754G;875.862
Unit #CR000390Q;9.347
Plant #GU200712N;721.147
Unit #NA001276M;5.535
Plant #JP200551E;617.381
Module #KV100547W;74.799
Plant #YH200777H;727.243
Module #AQ100051A;21.579
Unit #US000740K;2.037
Plant #MQ200184Z;720.835
Module #UV101074F;71.858
Unit #JN000966Y;2.033
Module #WL100203C;64.959
Module #NS100121R;76.551
Facility complex #LD400051Y;2226.828
Module #GO100287I;50.286
Module #MS100380Z;58.966
Plant #FS200270L;307.797
Unit #RB000249C;5.116
Unit #XA001327F;2.055
Module #RO100648A;85.552
Plant #WW300297Z;1556.266
Plant #RB200321Y;808.793
Plant #UB200203S;485.524
Module #DP100162V;76.308
Plant #JJ200035F;173.982
Plant #LZ200594T;567.361
Module #TK100991L;65.16
Plant #KF200513M;730.101
Unit #AC001361U;6.535
Plant #KQ300305B;708.532
Unit #FO000373D;7.415
Module #WA101133S;42.807
Module #QO100797M;66.511
Plant #HC200521I;1057.593
Unit #FU000154C;1.165
Unit #HX000565B;2.339
Plant #DT300084S;1155.864
Unit #US000529N;4.584
Plant #FX300078O;7819.237
Unit #BQ000450W;6.33
Unit #II001352K;9.553
Plant #RD200656Z;925.487
Unit #ID000155Q;4.838
Plant #ZI300308I;218.694
Unit #YC000654L;4.822
Plant #PB200608Z;901.267
Unit #VF000037E;3.055
Module #DV100108B;79.048
Module #YF101156N;70.06
Unit #QS000027B;1.525
Module #VG100496F;32.644
Module #CX101039V;90.018
Plant #ML200618Z;311.577
Module #YO101232E;62.73
Unit #KI000402U;10.142
Unit #TD001040E;5.511
Unit #UD000534H;5.507
Plant #DI200709S;1026.678
Plant #XC200048U;899.394
Unit #WI000512F;0.698
Module #AZ100754T;24.693
Plant #CW200749M;226.713
Unit #AT000764B;0.95
Plant #MT200665R;625.944
Module #KX100554R;98.503
Module #BX100190K;40.244
Unit #JX000193L;6.147
Plant #PD200254Y;48.982
Unit #PQ000113X;5.3
Plant #CT200721W;387.832
Unit #LN000472A;4.773
Plant #HR200482H;600.123
Unit #QM000153M;6.193
Module #AO101009S;83.799
Unit #KM001607J;1.127
Unit #SG000793K;2.779
Module #FD100263V;99.39
